,Unnamed: 0,End_Year,W,L,Finish,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Start_Year,Pace
22,22,1969,40.0,41.111111111111114,3.8333333333333335,26.477777777777774,81.11111111111111,241.4944444444444,43.388888888888886,98.37777777777778,0.4413333333333333,0.2555555555555555,0.8888888888888888,0.0643888888888888,43.13333333333333,97.49444444444444,0.4427777777777777,25.544444444444444,35.57222222222222,0.7187222222222222,4.127777777777777,7.73888888888889,56.12777777777777,21.933333333333337,0.0,0.0,5.205555555555556,25.97222222222222,112.57222222222222,1968.0,114.89166666666667
23,23,1970,42.666666666666664,39.77777777777778,3.5555555555555554,26.483333333333334,82.44444444444444,241.66666666666663,45.21666666666667,98.71111111111112,0.4584444444444445,0.4333333333333333,1.5444444444444445,0.0620555555555555,44.77222222222222,97.16111111111113,0.4613888888888888,25.299999999999997,33.733333333333334,0.7498333333333334,4.105555555555556,7.844444444444444,53.08888888888889,23.73888888888889,0.0,0.0,5.338888888888889,25.283333333333335,116.17222222222222,1969.0,114.10833333333333
24,24,1971,40.714285714285715,41.666666666666664,2.761904761904762,26.314285714285717,82.38095238095238,241.28571428571428,44.304761904761904,98.41904761904765,0.4506190476190476,0.3904761904761904,1.3428571428571427,0.052,43.90952380952381,97.08571428571427,0.453,24.404761904761905,32.60952380952381,0.7481904761904762,3.5333333333333337,6.685714285714286,53.219047619047615,23.89047619047619,0.0,0.0,19.38095238095238,24.40952380952381,113.3952380952381,1970.0,113.81333333333333
25,25,1972,41.142857142857146,41.23809523809524,2.7142857142857144,26.44285714285714,82.38095238095238,241.4142857142857,43.30952380952381,95.03809523809524,0.4557619047619047,0.2571428571428572,0.8809523809523809,0.0546666666666666,43.05238095238095,94.16666666666669,0.4574761904761904,23.4,31.152380952380955,0.7507619047619047,3.2952380952380955,6.461904761904761,51.166666666666664,23.46666666666667,0.0,0.0,19.176190476190477,24.04285714285714,110.24761904761904,1971.0,112.14
26,26,1973,40.61904761904762,41.76190476190476,2.8095238095238093,26.47619047619047,82.38095238095238,240.91904761904763,43.72380952380953,95.52857142857142,0.4580952380952381,0.2476190476190476,0.8333333333333334,0.0557142857142857,43.46666666666666,94.7,0.4597142857142857,20.276190476190475,26.83809523809524,0.7560476190476191,3.1904761904761907,6.176190476190476,50.333333333333336,24.695238095238096,0.0,0.0,19.96666666666667,23.29047619047619,107.98095238095236,1972.0,110.57333333333332
27,27,1974,41.904761904761905,40.476190476190474,2.6666666666666665,26.59047619047619,82.38095238095238,241.1428571428571,42.976190476190474,93.73809523809524,0.4585714285714286,0.2333333333333333,0.7761904761904762,0.0558095238095238,42.74285714285715,92.96190476190476,0.4599047619047618,19.4,25.228571428571428,0.769,15.02857142857143,33.357142857142854,48.39047619047619,24.29047619047619,8.609523809523811,4.761904761904762,20.214285714285715,23.933333333333337,105.5904761904762,1973.0,107.29333333333334
28,28,1975,43.5,38.86363636363637,2.636363636363636,26.33181818181818,82.36363636363636,241.4863636363636,42.49545454545454,91.8681818181818,0.4625454545454545,0.1954545454545454,0.6636363636363636,0.0483181818181818,42.304545454545455,91.2,0.4639090909090909,19.509090909090908,25.372727272727275,0.7686363636363637,14.668181818181818,32.66818181818182,47.33636363636364,23.95909090909091,9.090909090909092,4.463636363636364,19.595454545454547,24.24090909090909,104.70454545454544,1974.0,104.32
29,29,1976,42.81818181818182,39.54545454545455,2.772727272727273,26.19545454545454,82.36363636363636,241.52727272727273,42.76363636363636,92.72272727272728,0.4612272727272727,0.2318181818181818,0.7818181818181817,0.0478181818181818,42.52727272727273,91.9318181818182,0.462590909090909,20.62272727272727,27.25,0.7570454545454546,14.836363636363636,33.08181818181818,47.93636363636363,23.404545454545453,9.195454545454544,4.7727272727272725,19.595454545454547,24.76363636363636,106.37272727272726,1975.0,105.92
30,30,1977,41.0,41.0,3.272727272727273,26.15,82.0,241.0090909090909,42.81363636363636,92.03181818181818,0.4651818181818182,0.0,0.0,0.0,42.81363636363636,92.03181818181818,0.4651818181818182,20.84090909090909,27.73636363636364,0.7515454545454545,14.96818181818182,32.1,47.05,23.863636363636363,9.372727272727271,5.072727272727272,20.57272727272727,25.218181818181815,106.47272727272728,1976.0,105.89333333333335
31,31,1978,41.0,41.0,3.272727272727273,26.17727272727273,82.0,241.75454545454548,43.554545454545455,92.8681818181818,0.4691818181818181,0.0,0.0,0.0,43.554545454545455,92.8681818181818,0.4691818181818181,21.345454545454547,28.395454545454548,0.752590909090909,15.004545454545456,32.11818181818182,47.10909090909092,25.05,9.6,5.127272727272727,20.077272727272728,25.15909090909091,108.46363636363635,1977.0,106.1
